osm_id,name,building,building:levels,height,addr:housenumber,addr:street,addr:postcode,amenity,shop,tourism,historic,start_date,wikidata
"node/5712062820","Big Adventure Comics","no","","","328","South Guadalupe Street","87501","","books","","","",""
"way/207798515","Warehouse 21 (closed)","civic","2","","1614","Paseo de Peralta","87501","","","","","",""
"way/207798516","","yes","2","","1607","Paseo de Peralta","87501","","","","","",""
"way/207798517","Gross Kelly Warehouse","commercial","2","","530","South Guadalupe Street","87501","","","","","",""
"way/207798518","","commercial","","","","South Guadalupe Street","","","","","","",""
"way/207798519","Art Yard","commercial","3","7","703","Camino de la Familia","87505","","","","","",""
"way/207798523","","commercial","","","","","","","","","","",""
"way/207798524","SITE Santa Fe","yes","","","1606","Paseo de Peralta","87501","","","museum","","",""
"way/207798525","","yes","","","","","","","","","","",""
"way/227400794","Guadalupe Inn","yes","","","604","Agua Fria Street","","","","hotel","","",""
"way/232052307","Edward J. Lopez State Land Office Building","public","2","","310","Old Santa Fe Trail","87501","","","","","","Q132187093"
"way/243866549","The Cathedral Basilica of Saint Francis of Assisi","cathedral","3","","231","Cathedral Place","87501","place_of_worship","","","","1887","Q3663700"
"way/243925978","Marian Hall","yes","3","","224","East Palace Avenue","87501","","","","","1910",""
"way/243925979","Drury Plaza Hotel in Santa Fe","yes","4","15","828","Paseo de Peralta","87501","","","hotel","","1953",""
"way/243925980","","yes","","","","","","","","","","",""
"way/243925981","","church","2","","","","","","","","","",""
"way/243925982","","church","","","","","","","","","","",""
"way/243925984","","church","","","","","","","","","","",""
"way/243984197","","yes","2","","","","","","","","building","1949",""
"way/243984198","","church","1","","","","","","","","","",""
"way/243984199","","church","1","","","","","","","","","",""
"way/244175262","Loretto Chapel","chapel","2","26","207","Old Santa Fe Trail","87501","","","museum","","1878","Q2956557"
"way/246153000","Joseph M. Montoya Federal Building","yes","2","","120","South Federal Place","87501","","","","","","Q113626372"
"way/255121005","De Vargas Center","commercial","","","","","","","mall","","","",""
"way/255121006","","commercial","","","","","","","","","","",""
"way/290191330","WorldMark Santa Fe","yes","","","138","Park Avenue","87501","","","hotel","","",""
"way/310833338","Palace of the Governors","yes","","5","105","West Palace Avenue","87501","","","museum","castle","1610","Q2442235"
"way/313520078","Casita de los Cornell","apartments","3","","211","West Water Street","87501","","","","","",""
"way/313520079","","yes","","","","","","","","","","",""
"way/313520080","","yes","","","204","West San Francisco Street","","","","","","",""
"way/313520081","","yes","","","","","","","","","","",""
"way/313520082","Cornell Building","yes","2","","","","","","","","building","",""
"way/313520083","","yes","","","","","","","","","","",""
"way/313520084","Roberts & Salmon Building","yes","","","","","","","","","","",""
"way/313520085","","yes","","","","","","","","","","",""
"way/313520086","Sandoval Garage","yes","3","","216","West San Francisco Street","","parking","","","","",""
"way/313523421","Laughlin Building","yes","2","","102","West San Francisco Street","","","","","building","",""
"way/313523423","","yes","2","","","","","","","","","",""
"way/313523424","","yes","2","","110","West San Francisco Street","87501","","","","","",""
"way/313524956","","yes","","","","","","","","","","",""
"way/313524957","","yes","1","","","","","","","","","",""
"way/313524958","","yes","3","","","","","","","","","",""
"way/313524959","","yes","","","","","","","","","","",""
"way/317447968","Piñon Court by La Fonda","yes","2","","201","Montezuma St","87501","","","hotel","","",""
"way/317447969","Del Charro Saloon","yes","","","101","West Alameda Street","","restaurant","","","","",""
"way/317447972","","commercial","","","","","","","","","","",""
"way/317469703","","garage","","","","","","","","","","",""
"way/317469704","Maintenance","yes","","","","","","","","","","",""
"way/318069353","Santa Fe Depot","train_station","","","430","South Guadalupe Street","","","","","","",""
"way/318069354","","yes","","","","","","","","","","",""
"way/319634352","","church","2","","","","","","","","","",""
"way/319634353","","church","","","","","","place_of_worship","","","","",""
"way/340433436","Santa Fe County John Gaw Meem Historic Building","yes","2","","102","Grant Avenue","87501","","","","building","1939","Q106827441"
"way/362347534","","residential","","","1625","Paseo de Peralta","87501","","","","","","Q136126265"
"way/384688621","","church","2","","","","","","","","","1939",""
"way/435964657","Whoo's Donuts","yes","","","851","Cerrillos Road","87505","fast_food","","","","",""
"way/448342072","","yes","","","","","","","","","","",""
"way/457821412","","yes","","","","","","","","","","",""
"way/457821413","","yes","2","","","","","","","","","",""
"way/457821414","","yes","","","","","","","","","","",""
"way/457821415","","yes","","","","","","","","","","",""
"way/457821416","Jerry Apodaca Building","yes","3","","424","Galisteo Street","87501","","","","","",""
"way/457821417","","yes","","","","","","","","","","",""
"way/457821418","","yes","","","","","","","","","","",""
"way/457821419","Hotel St. Francis","hotel","3","","210","Don Gaspar Avenue","87501","","","","","1924","Q111393490"
"way/457821421","","yes","2","","","West Palace Avenue","87501","","","","","",""
"way/457821422","","yes","2","","","West Palace Avenue","87501","","","","","",""
"way/457821424","","yes","","","135","Grant Avenue","","","","","building","",""
"way/457821425","","office","2","","200","West Marcy Street","87501","","","","","",""
"way/457821426","Santa Fe City Hall","yes","2","","200","Lincoln Avenue","87501","townhall","","","","1939","Q123397504"
"way/457821427","","yes","","","","","","","","","","",""
"way/457821428","","yes","","","","","","","","","","",""
"way/457821429","Century Bank","yes","","","100","South Federal Place","","bank","","","","",""
"way/457821431","Cortez Building","yes","","","","West Marcy Street","87501","","","","","",""
"way/457821432","101 West Marcy","commercial","2","","101","West Marcy Street","","","","","","",""
"way/457821433","WaFd Bank","yes","","","208","Washington Avenue","","bank","","","","",""
"way/457821434","","hotel","","","105","East Marcy Street","87501","","","","","",""
"way/457821435","","parking","3","","111","East Marcy Street","","parking","","","","",""
"way/457821436","Marcy Plaza","office","2","","123","East Marcy Street","87501","","","","","",""
"way/457821437","Marcy Plaza","office","2","","119","East Marcy Street","87501","","","","","",""
"way/457821438","Radio Plaza","office","","","210-222","East Marcy Street","87501","","","","","",""
"way/457821439","New Mexico Administrative Office of the Courts","yes","2","","202","East Marcy Street","87501","","","","","",""
"way/457821442","Santa Fe Public Library","yes","2","","145","Washington Avenue","87501","library","","","","1939",""
"way/457821444","New Mexico History Museum","yes","4","","113","Lincoln Avenue","87501","","","museum","","","Q43079348"
"way/461631827","Inn of the Governors","hotel","3","","101","West Alameda Street","87501","","","","","","Q111393491"
"way/461631828","Santa Fe Village","commercial","2","","227","Don Gaspar Avenue","87501","","mall","","","",""
"way/461631829","KESHi the Zuni Connection","yes","1","","227","Don Gaspar Avenue","87501","","art","","","",""
"way/461631830","","commercial","3","","50","East San Francisco Street","","","","","","",""
"way/461631831","","yes","2","","","","","","","","","",""
"way/461631832","","yes","2","","","","","","","","","",""
"way/461631833","","yes","","","","","","","","","","",""
"way/461631834","Five and Dime","yes","2","","58","East San Francisco Street","87501","","","","","","Q113636444"
"way/461631835","Santa Fe Arcade","yes","3","","60","East San Francisco Street","87501","","mall","","","",""
"way/461696624","Paseo de Luz Shops","retail","2","","66","East San Francisco Street","87501","","","","","",""
"way/461696625","First National 1870","yes","2","","62","Lincoln Avenue","","bank","","","","",""
"way/461696626","Batts Building","yes","2","","54-58","Lincoln Avenue","87501","","","","building","",""
"way/461696627","","yes","2","","","","","","","","","",""
"way/461696628","","yes","","","","","","","","","","",""
